removed_from,removed_gene,outcome,beta,se,ci_low,ci_high,p,n,patients
gly,PMM2,Inflamm,0.3860449882295778,0.11311199103966393,0.16434955957221917,0.6077404168869364,0.0006426494405787079,136,20
gly,PMM2,Hypoxia,0.6619093802181601,0.09636110900998003,0.47304507704826115,0.8507736833880591,6.463036189789364e-12,136,20
gly,POLR3K,Inflamm,0.37565022239359047,0.11449346149456399,0.15124716139892158,0.6000532833882594,0.0010344879277668431,136,20
gly,POLR3K,Hypoxia,0.6549606233188225,0.09993480116708715,0.45909201222916035,0.8508292344084847,5.606129065862146e-11,136,20
gly,PPIA,Inflamm,0.37082829504146353,0.114678743703862,0.14606208758959455,0.5955945024933325,0.0012222892890810077,136,20
gly,PPIA,Hypoxia,0.6412213944749308,0.09920145522720508,0.44679011501564614,0.8356526739342154,1.0208520030364167e-10,136,20
gly,PPP2CB,Inflamm,0.3623831424679804,0.11541611040040321,0.13617172284749138,0.5885945620884695,0.0016906501709884377,136,20
gly,PPP2CB,Hypoxia,0.6408369642339921,0.1001551831311805,0.4445364124318647,0.8371375160361194,1.5697205019417906e-10,136,20
gly,PRPS1,Inflamm,0.37852321384674137,0.11578962388952439,0.1515797212398349,0.6054667064536479,0.001079054635737437,136,20
gly,PRPS1,Hypoxia,0.661016469792837,0.10113038031796259,0.462804566626792,0.8592283729588821,6.306784712171325e-11,136,20
gly,PSMC4,Inflamm,0.3664538406210205,0.11660564418521946,0.13791097762389798,0.5949967036181429,0.0016741063646188833,136,20
gly,PSMC4,Hypoxia,0.6497494212793484,0.10119801300489653,0.4514049604827352,0.8480938820759616,1.3576066060291142e-10,136,20
gly,PYGB,Inflamm,0.37917171000328276,0.11775644409938124,0.14837332062099137,0.6099700993855741,0.001282059390481521,136,20
gly,PYGB,Hypoxia,0.6508736460649251,0.10117070393278031,0.45258271006611095,0.8491645820637393,1.2476414542544753e-10,136,20
gly,PYGL,Inflamm,0.3686387888382747,0.11712489402589747,0.13907821485444513,0.5981993628221043,0.0016472993532807548,136,20
gly,PYGL,Hypoxia,0.6404417600659205,0.10120086993358457,0.44209169979197227,0.8387918203398687,2.476818212056854e-10,136,20
gly,QSOX1,Inflamm,0.3495958433611225,0.12262651767240257,0.10925228517364899,0.5899394015485959,0.004359578502604503,136,20
gly,QSOX1,Hypoxia,0.6237039555425927,0.10652659524171187,0.41491566547316155,0.8324922456120238,4.772595643202555e-09,136,20
gly,RBCK1,Inflamm,0.36800745003717505,0.11763184801556936,0.13745326449176967,0.5985616355825805,0.0017572025703507677,136,20
gly,RBCK1,Hypoxia,0.6391974227114705,0.10130854849022355,0.44063631634460265,0.8377585290783384,2.800966581047917e-10,136,20
gly,RPE,Inflamm,0.37128074254903676,0.11318711270665066,0.14943807812992554,0.5931234069681479,0.0010371930837964798,136,20
gly,RPE,Hypoxia,0.6526057918813493,0.09531542208679378,0.46579099741999985,0.8394205863426987,7.551929529111172e-12,136,20
gly,SLC16A3,Inflamm,0.38391035361124004,0.1176907204669456,0.15324078018145565,0.6145799270410244,0.0011061845516633366,136,20
gly,SLC16A3,Hypoxia,0.6487052788984624,0.09975727011745428,0.45318462227221823,0.8442259355247066,7.881912598883789e-11,136,20
gly,SLC25A13,Inflamm,0.3803968771656472,0.11700839961141453,0.15106462803860427,0.60972912629269,0.0011499097350604465,136,20
gly,SLC25A13,Hypoxia,0.6486206786419518,0.10226213427367424,0.44819057848335125,0.8490507788005524,2.2573498160411335e-10,136,20
gly,SLC35A3,Inflamm,0.36629331152970546,0.11611437825397503,0.13871331206465357,0.5938733109947574,0.0016072353609279395,136,20
gly,SLC35A3,Hypoxia,0.6406358850628502,0.10127104877067648,0.442148276795725,0.8391234933299754,2.516745738663586e-10,136,20
gly,SOD1,Inflamm,0.37228257450098934,0.11340500991303296,0.15001283940503693,0.5945523095969417,0.0010279246319932324,136,20
gly,SOD1,Hypoxia,0.6457604736396192,0.09796633080327175,0.45374999356766965,0.8377709537115687,4.3494383585139785e-11,136,20
gly,SPAG4,Inflamm,0.3799322743087903,0.11577254862040932,0.1530222486143757,0.6068423000032048,0.0010317857532781247,136,20
gly,SPAG4,Hypoxia,0.6450332060875541,0.10435537780360052,0.4405004239994265,0.8495659881756816,6.364805004499255e-10,136,20
gly,SRD5A3,Inflamm,0.37471157325256765,0.11549202545438012,0.14835136286039946,0.6010717836447359,0.0011766525684714774,136,20
gly,SRD5A3,Hypoxia,0.6466895950523864,0.1037040874368848,0.44343331862649954,0.8499458714782733,4.4915267552867726e-10,136,20
gly,STMN1,Inflamm,0.39129119961238756,0.11384080314186233,0.16816732548322316,0.6144150737415519,0.0005878073494418335,136,20
gly,STMN1,Hypoxia,0.668068779715444,0.09903704150783527,0.4739597452246884,0.8621778142061995,1.523481099644732e-11,136,20
gly,TALDO1,Inflamm,0.36639026505718464,0.11647938741209932,0.13809486078818184,0.5946856693261875,0.0016578201827586146,136,20
gly,TALDO1,Hypoxia,0.6338960920597664,0.09986112878948489,0.43817187617686004,0.8296203079426727,2.184496190743657e-10,136,20
gly,TGFA,Inflamm,0.3656648078254078,0.11882522046595183,0.13277165525711046,0.5985579603937051,0.0020886162274882402,136,20
